	Rattan_B
Calamus_maturbongsii_Maturbongs_32_BKL180	0.0977673944996158
Calamus_oblongus_subsp_elongatus_Dransfield_2064_JSL472	0.10082209116300855
Calamus_ater_Dransfield_2309_JSL614	0.10124383252785485
Calamus_asteracanthus_Dransfield_5351_JSL613	0.1046553632914794
Calamus_reinwardtii_Blume_62_BKL220	0.10656503122528926
Calamus_fissilis_Henderson_3289_BKL064	0.10721876454181911
Calamus_scapiger_Dransfield_5081_JSL285	0.10802152457180036
Calamus_insolitus_Ridsdale_PBU_493_JSL610	0.10834229846182697
Calamus_asteracanthus_Johns_6521_BKL207	0.10847392564319924
Calamus_applanatus_Henderson_3220_RBL159	0.10942321659076037
Calamus_glaucescens_Blume_1043_JSL568	0.10952907707839021
Calamus_loherianus_Elmer_11600_JSL442	0.10988227294135289
Calamus_nuichuaensis_Henderson_3646_RBL100	0.11006230462443756
Calamus_oblongus_subsp_mollis_Elmer_13978_JSL592	0.11009700132029199
Calamus_nannostachys_Zieck_NGF_36544_RBL299	0.11011436690922072
Calamus_oxycoccus_Dransfield_5766_JSL139	0.11049270979775871
Calamus_crinitus_subsp_forbesii_Dransfield_3576_JSL590	0.11061518992381303
Calamus_metzianus_Thwaites_3914_JSL440	0.11097675533435625
Calamus_spiculifer_Zieck_NGF_36558_JSL546	0.11101504497318204
Calamus_eugenei_Henderson_3693_RBL233	0.11146242294844078
Calamus_eugenei_Henderson_3429_JSL199	0.11153973611868784
Calamus_lamprolepis_Heyne_390_RBL381	0.11162163902875388
Calamus_micracanthus_Beccari_3644_JSL140	0.11187294431058403
Calamus_tapanensis_Dransfield_4078_JSL513	0.11199396845570886
Calamus_ocreatus_Nguyen_2006_JSL434	0.11264989259188751
Calamus_formicarius_Dransfield_4684_JSL615	0.1129463434485305
Calamus_calciphilus_de_Vogel_2054_JSL609	0.11308012060113015
Calamus_maculatus_Coode_6987_JSL283	0.11331181449651218
Calamus_brevicaulis_Henderson_3861_RBL102	0.11407000035776238
Calamus_ocreatus_Henderson_3862_RBL113	0.1140927837459752
Calamus_oblongus_subsp_longistipes_Chai_S_37284_JSL618	0.11482518439034617
Calamus_mollispinus_Henderson_3931_RBL116	0.11603450308397234
Calamus_calciphilus_de_Vogel_1628_JSL553	0.11623000776751247
Calamus_fissilis_Henderson_3266_JSL024	0.11624495552539493
Calamus_cristatus_van_Valkenburg_1185_JSL280	0.11666365483449881
Calamus_ruptilis_Wong_Dransfield_493_JSL438	0.11763475230721432
Calamus_temii_Smitinand_sn_RBL314	0.11765357295781997
Calamus_latus_Rahmat_Si_Boeea_9578_JSL559	0.11794240419219759
Calamus_crinitus_subsp_crinitus_Dransfield_4633_JSL249	0.11846118913339887
Calamus_burkillianus_Dransfield_5066_JSL560	0.11872615689977384
Calamus_oblongus_subsp_depressiusculus_Dransfield_4135_RBL286	0.11900073018201862
Calamus_loherianus_Elmer_11757_RBL431	0.11930194664790772
Calamus_melanorhynchus_Elmer_11708_RBL294	0.11953027735983501
Calamus_confusus_Rahmat_Si_Boeea_7434_JSL530	0.11968169099672277
Calamus_ingens_Dransfield_4672_JSL266	0.11969745035805279
Calamus_heteroideus_Jacobs_8144_JSL474	0.11984105666035072
Calamus_pahangensis_Saw_FRI_44659_RBL309	0.11985045765158753
Calamus_validus_Mogea_1356_JSL591	0.11989881389363888
Calamus_ruvidus_Kandau_S_43764_JSL269	0.1199901841778882
Calamus_macropterus_Dransfield_3861_JSL311	0.12000353625019555
Calamus_longibracteatus_Moore_9103_JSL617	0.12005365436995741
Calamus_croftii_Croft_LAE_68504_JSL580	0.12032663691909129
Calamus_acamptostachys_Dransfield_6081_JSL327	0.12038882358735381
Calamus_hirsutus_subsp_minor_Dransfield_5375_JSL202	0.12095844753343099
Calamus_oblongus_subsp_mollis_Fernando_640_RBL281	0.12106741748159644
Calamus_seropakensis_Banyeng_43662_JSL596	0.12113060729686365
Calamus_mollispinus_Henderson_3667_JSL022	0.12130472191123332
Calamus_oblongus_subsp_elongatus_Stockdale_339_RBL249	0.12133099961334115
Calamus_validus_Musser_R5_BKL118	0.12143352510385652
Calamus_exiguus_Saw_FRI_44965_JSL437	0.12147804933776951
Calamus_furvus_Meijer_7051_JSL611	0.12148237106607596
Calamus_ochrolepis_Adorador_94_BKL102	0.12155199622916946
Calamus_delicatulus_Ridley_3159_JSL458	0.12179881646012491
Calamus_crinitus_subsp_sabut_Avé_7_RBL304	0.12198854706860562
Calamus_cockburnii_Cockburn_FRI_10949_RBL444	0.12215762302966993
Calamus_gracilipes_Dransfield_3578_BKL129	0.12220125604998167
Calamus_moseleyanus_Elmer_11938_JSL594	0.1225493805994955
Calamus_acanthochlamys_Dransfield_6669_JSL281	0.12267994917376279
Calamus_inops_Mogea_1329_JSL130	0.12275009083888921
