	Rattan_A
Calamus_fissilis_Henderson_3289_BKL064	0.03678710932245566
Calamus_applanatus_Henderson_3220_RBL159	0.03688206660527904
Calamus_eugenei_Henderson_3429_JSL199	0.0398250604917203
Calamus_nuichuaensis_Henderson_3646_RBL100	0.04090780380954184
Calamus_eugenei_Henderson_3693_RBL233	0.041468883486328045
Calamus_ocreatus_Henderson_3862_RBL113	0.04350208056337079
Calamus_brevicaulis_Henderson_3861_RBL102	0.044168485207244146
Calamus_ocreatus_Nguyen_2006_JSL434	0.044677442981245874
Calamus_mollispinus_Henderson_3931_RBL116	0.044746021676514425
Calamus_fissilis_Henderson_3266_JSL024	0.044818429361004
Calamus_mollispinus_Henderson_3667_JSL022	0.04899736530273546
Calamus_longibracteatus_Kuhnhäuser_20_RBL172	0.05145907715656317
Calamus_scapiger_Dransfield_5081_JSL285	0.05216015524059081
Calamus_asteracanthus_Johns_6521_BKL207	0.052297038714587796
Calamus_tapanensis_Dransfield_4078_JSL513	0.05271935006855444
Calamus_oblongus_subsp_elongatus_Dransfield_2064_JSL472	0.05304931859286943
Calamus_ruptilis_Wong_Dransfield_493_JSL438	0.05309755501586444
Calamus_insolitus_Ridsdale_PBU_493_JSL610	0.0533194205825428
Calamus_ruptiloides_Kuhnhäuser_75_RBL224	0.05410152091341347
Calamus_crinitus_subsp_forbesii_Dransfield_3576_JSL590	0.054496703834588156
Calamus_asteracanthus_Dransfield_5351_JSL613	0.05450592902832263
Calamus_loherianus_Elmer_11600_JSL442	0.05461140418303745
Calamus_oxycoccus_Dransfield_5766_JSL139	0.05511066601922188
Calamus_ater_Dransfield_2309_JSL614	0.05533675871073862
Calamus_geniculatus_Kuhnhäuser_72_RBL195	0.05538330254386248
Calamus_reinwardtii_Blume_62_BKL220	0.055564414171539234
Calamus_scapiger_Kuhnhäuser_18_RBL171	0.05592124486596506
Calamus_longibracteatus_Moore_9103_JSL617	0.05594468865611146
Calamus_micracanthus_Beccari_3644_JSL140	0.05630094948772024
Calamus_maculatus_Coode_6987_JSL283	0.05644259244936367
Calamus_geniculatus_Kuhnhäuser_25_JSL009	0.05651541756488532
Calamus_cristatus_van_Valkenburg_1185_JSL280	0.05679805984199404
Calamus_ater_Eiserhardt_154_RBL343	0.056892783580275164
Calamus_cristatus_Kuhnhäuser_3_RBL164	0.05728204808339643
Calamus_oblongus_subsp_depressiusculus_Dransfield_4135_RBL286	0.05729139906848846
Calamus_ochrolepis_Adorador_94_BKL102	0.05740520089542245
Calamus_formicarius_Kuhnhäuser_69_RBL193	0.05765752249156153
Calamus_verticillaris_Cultivated_1991-1094_BKL012	0.057723739543630415
Calamus_longipes_Rajasegar_4_JSL045	0.05798085073440973
